PlayerID,Player,Pos,Age,Tm,Year,G,GS,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TARGET
maystr01,Travis Mays,PG,22,SAC,1991,64,55,2145,915,294,724,0.40607734806629836,72,197,0.36548223350253806,222,527,0.42125237191650855,0.4558011049723757,255,331,0.770392749,54,124,178,253,81,11,159,169,FALSE
mbahalu01,Luc Mbah a Moute,PF,22,MIL,2009,82,52,2114,594,227,491,0.4623217922606925,0,4,0,227,487,0.46611909650924027,0.4623217922606925,140,192,0.7291666666666666,189,298,487,87,87,45,100,204,TRUE
mbengdj01,D.J. Mbenga,C,24,DAL,2005,15,1,58,15,6,14,0.42857142857142855,0,0,NA,6,14,0.42857142857142855,0.42857142857142855,3,4,0.75,3,5,8,0,0,5,5,13,TRUE
mcadoja01,James Michael McAdoo,PF,22,GSW,2015,15,0,137,62,24,44,0.5454545454545454,0,0,NA,24,44,0.5454545454545454,0.5454545454545454,14,25,0.56,15,22,37,2,5,9,6,21,FALSE
mccalra01,Ray McCallum,PG,22,SAC,2014,45,10,897,280,113,300,0.37666666666666665,22,59,0.3728813559322034,91,241,0.3775933609958506,0.41333333333333333,32,43,0.7441860465116279,18,61,79,120,22,9,39,69,FALSE
mccanbo01,Bob McCann,SF,25,DAL,1990,10,0,62,26,7,21,0.3333333333333333,0,0,NA,7,21,0.3333333333333333,0.3333333333333333,12,14,0.8571428571428571,4,8,12,6,2,2,6,7,TRUE
mccanme01,Mel McCants,SF,22,LAL,1990,13,0,65,22,8,26,0.3076923076923077,0,0,NA,8,26,0.3076923076923077,0.3076923076923077,6,8,0.75,1,5,6,2,3,1,1,11,FALSE
mccanra01,Rashad McCants,SG,21,MIN,2006,79,12,1362,627,241,535,0.4504672897196262,67,180,0.37222222222222223,174,355,0.49014084507042255,0.5130841121495328,78,106,0.7358490566037735,29,114,143,63,44,22,86,176,FALSE
mccarke01,Kelly McCarty,SG,23,DEN,1999,2,0,4,4,2,3,0.6666666666666666,0,0,NA,2,3,0.6666666666666666,0.6666666666666666,0,0,NA,2,1,3,0,0,0,2,0,FALSE
mccarwa01,Walter McCarty,PF,22,NYK,1997,35,0,192,64,26,68,0.38235294117647056,4,14,0.2857142857142857,22,54,0.4074074074074074,0.4117647058823529,8,14,0.5714285714285714,8,15,23,13,7,9,17,38,TRUE
mccasam01,Amal McCaskill,C,23,ORL,1997,17,1,109,28,10,32,0.3125,0,2,0,10,30,0.3333333333333333,0.3125,8,12,0.6666666666666666,4,18,22,7,3,5,11,7,FALSE
mccawpa01,Patrick McCaw,SG,21,GSW,2017,71,20,1074,282,106,245,0.4326530612244898,41,123,0.3333333333333333,65,122,0.5327868852459017,0.5163265306122449,29,37,0.7837837837837838,21,79,100,77,32,15,36,62,TRUE
mccladw01,Dwayne McClain,SF,22,IND,1986,45,4,461,157,69,180,0.38333333333333336,1,9,0.1111111111111111,68,171,0.39766081871345027,0.3861111111111111,18,35,0.5142857142857142,14,16,30,67,38,4,40,61,FALSE
mcclesh01,Sheldon Mac,SG,24,WAS,2017,30,3,287,90,30,75,0.4,7,30,0.23333333333333334,23,45,0.5111111111111111,0.44666666666666666,23,27,0.8518518518518519,4,30,34,15,8,2,5,17,FALSE
mcclida01,Dan McClintock,C,23,DEN,2001,6,1,58,18,9,18,0.5,0,0,NA,9,18,0.5,0.5,0,5,0,10,7,17,1,0,2,3,11,FALSE
mccloge01,George McCloud,SF,22,IND,1990,44,0,413,118,45,144,0.3125,13,40,0.325,32,104,0.3076923076923077,0.3576388888888889,15,19,0.7894736842105263,12,30,42,45,19,3,36,56,TRUE
mccolcj01,CJ McCollum,SG,22,POR,2014,38,0,476,201,74,178,0.4157303370786517,30,80,0.375,44,98,0.4489795918367347,0.5,23,34,0.6764705882352942,7,41,48,27,14,2,35,53,TRUE
mccontj01,T.J. McConnell,PG,23,PHI,2016,81,17,1606,493,218,464,0.4698275862068966,31,89,0.34831460674157305,187,375,0.49866666666666665,0.5032327586206896,26,41,0.6341463414634146,43,207,250,367,95,10,140,114,TRUE
mccorke01,Keith McCord,SG,23,WSB,1981,2,NA,9,4,2,4,0.5,0,0,NA,2,4,0.5,0.5,0,0,NA,1,1,2,1,0,0,2,0,FALSE
mccorti01,Tim McCormick,C,22,SEA,1985,78,27,1584,726,269,483,0.556935818,0,1,0,269,482,0.558091286,0.556935818,188,263,0.714828897,146,252,398,78,18,33,114,207,TRUE
mccoyje01,Jelani McCoy,C,21,SEA,1999,26,0,331,133,56,76,0.7368421052631579,0,0,NA,56,76,0.7368421052631579,0.7368421052631579,21,42,0.5,27,52,79,4,11,20,10,42,TRUE
