CongNum,icpsr,StateCode,District,StateNm,PartyCode,ICPSRocc,Name,470,462,234,124,291,847,634,832,142,779,347,100,141,754,733,832,16,312,451,467,767,253,296,762,188,747,409,881,714,867,352,649,216,723,610,827,268,342,403,256,427,641,89,112,585,178,165,554,141,18
99,15080,71,5,CALIFOR,100,1,BURTON,1,1,6,6,9,9,6,9,6,9,1,6,1,9,9,9,1,6,9,6,9,1,1,9,1,9,1,1,6,6,1,9,1,1,9,9,1,1,1,1,6,1,1,1,1,1,1,1,1,1
99,15011,71,6,CALIFOR,100,1,BOXER,1,1,6,6,9,1,6,1,6,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,6,1,9,1,1,1,1,1,1,1,6,6,1,1,1,6,1,9,1,1,1
99,14256,71,7,CALIFOR,100,1,MILLER,1,9,6,6,9,1,1,1,6,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,6,1,1,9,1,1,1,9,1,1,1,6,6,1,1,1,6,1,1,1,1,1
99,13011,71,8,CALIFOR,100,1,DELLUMS,1,9,6,6,6,1,1,1,6,6,1,6,1,1,6,1,1,1,1,6,6,1,1,1,1,6,1,9,6,6,1,1,1,1,1,1,9,1,1,6,6,6,1,1,1,1,1,1,1,1
99,14053,71,9,CALIFOR,100,1,STARK,1,1,6,6,6,9,1,1,6,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,9,6,9,1,1,1,1,1,1,1,1,6,6,1,1,1,9,9,9,1,1,1
99,10583,71,10,CALIFOR,100,1,EDWARDS,1,1,6,6,6,1,1,1,6,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
99,14837,71,11,CALIFOR,100,1,LANTOS,1,1,6,6,9,1,6,1,6,1,1,6,1,6,1,1,1,6,1,6,1,1,9,1,1,6,1,1,1,6,1,1,1,1,1,9,1,1,1,1,6,1,1,1,1,1,1,6,1,1
99,15078,71,12,CALIFOR,200,1,ZSCHAU,1,1,1,6,6,1,6,6,1,1,6,1,6,6,9,6,1,6,1,1,9,1,9,9,1,1,1,9,6,1,1,6,6,6,1,9,6,1,6,1,1,1,1,6,9,1,6,6,6,6
99,14257,71,13,CALIFOR,100,1,MINETA,1,9,6,6,6,1,6,1,6,1,1,6,1,1,1,1,1,9,1,6,1,1,1,1,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,9,1,1,1,1,1
99,14660,71,14,CALIFOR,200,1,SHUMWAY,6,1,1,6,6,1,6,6,1,1,6,6,6,6,6,6,6,6,1,1,6,1,8,6,1,1,6,1,1,1,6,6,6,1,9,6,1,6,1,1,6,1,1,6,1,6,6,6,6,6
99,14613,71,15,CALIFOR,100,1,COELHO,1,1,6,6,6,1,6,1,6,1,1,6,1,1,1,1,1,6,9,6,1,1,1,1,9,6,1,1,9,6,1,1,1,9,1,1,1,1,1,6,6,1,1,1,9,1,1,6,1,1
99,14444,71,16,CALIFOR,100,1,PANETTA,1,1,6,6,6,1,6,1,6,1,1,6,1,6,1,1,1,6,1,6,1,1,1,1,1,1,1,1,6,1,1,9,1,1,1,9,1,1,1,1,6,1,1,1,6,1,9,6,1,1
